sku,parent_sku,locale,attribute_family_code,type,categories,images,name,description,short_description,status,visible_individually,new,featured,guest_checkout,length,width,height,weight,tax_category_name,price,cost,special_price,special_price_from,special_price_to,customer_group_prices,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,configurable_variants,bundle_options,associated_skus
BRACELET-AGATE-001,,fr,default,simple,Bijoux/Bracelets,"01_Agate-Face.jpg,02_Agate-Detail.jpg",Bracelet Agate Création Artisanale,Magnifique bracelet de création artisanale confectionné avec soin. Composé de perles semi-précieuses en agate associées à des perles d'argent plaqué or ce bracelet incarne l'élégance et l'authenticité. Chaque création est unique mettant en avant le savoir-faire traditionnel. Parfait comme cadeau ou pour ajouter une touche de sophistication à votre collection de bijoux,Bracelet unique en agate avec perles argent plaqué or,1,1,0,0,1,,,0.2,0.2,,25,,,,,,bracelet-agate-creation-greedys,Bracelet Agate Création Greedys Martigues,agate bracelet création artisanal Greedys Martigues perles argent semi-précieux,Bracelet agate artisanal Greedys à Martigues - Création unique avec perles semi-précieuses,1,default=1,BRACELET-AGATE-PERIDOT-001,BAGUE-DORE-001|BAGUE-FLEUR-001,,,,
BAGUE-FLEUR-RESINE-001,,fr,default,simple,Bijoux/Bagues,01_Bague-Fleur-Resine-001.jpg,Bague Fleur Résine colorée,Charmante bague en acier inoxydable ornée d'une fleur en résine création unique artisanale. La fleur en résine aux couleurs vives apporte une touche florale et printanière à ce bijou délicat. Chaque pièce est unique grâce aux variations de la résine. Réglable cette bague convient à tous les doigts. Bijou poétique et féminin parfait pour les amoureuses de la nature.,Bague acier inoxydable avec fleur en résine colorée,1,1,0,0,1,,,,,22,,,,,,bague-fleur-resine-001,Bague Fleur Résine Création Greedys,bague fleur résine acier inoxydable colorée,Bague artisanale en acier inoxydable avec fleur résine - Création unique Greedys,1,default=1,,BAGUE-FLEUR-RESINE-002|BAGUE-FLEUR-RESINE-003,,,,
BAGUE-FLEUR-RESINE-002,,fr,default,simple,Bijoux/Bagues,01_Bague-Fleur-Resine-002.jpg,Bague Fleur Résine colorée,Charmante bague en acier inoxydable ornée d'une fleur en résine création unique artisanale. La fleur en résine aux couleurs vives apporte une touche florale et printanière à ce bijou délicat. Chaque pièce est unique grâce aux variations de la résine. Réglable cette bague convient à tous les doigts. Bijou poétique et féminin parfait pour les amoureuses de la nature.,Bague acier inoxydable avec fleur en résine colorée,1,1,0,0,1,,,,,22,,,,,,bague-fleur-resine-002,Bague Fleur Résine Création Greedys,bague fleur résine acier inoxydable colorée,Bague artisanale en acier inoxydable avec fleur résine - Création unique Greedys,1,default=1,,BAGUE-FLEUR-RESINE-001|BAGUE-FLEUR-RESINE-003,,,,
BAGUE-FLEUR-RESINE-003,,fr,default,simple,Bijoux/Bagues,01_Bague-Fleur-Resine-003.jpg,Bague Fleur Résine colorée,Charmante bague en acier inoxydable ornée d'une fleur en résine création unique artisanale. La fleur en résine aux couleurs vives apporte une touche florale et printanière à ce bijou délicat. Chaque pièce est unique grâce aux variations de la résine. Réglable cette bague convient à tous les doigts. Bijou poétique et féminin parfait pour les amoureuses de la nature.,Bague acier inoxydable avec fleur en résine colorée,1,1,0,0,1,,,,,22,,,,,,bague-fleur-resine-003,Bague Fleur Résine Création Greedys,bague fleur résine acier inoxydable colorée,Bague artisanale en acier inoxydable avec fleur résine - Création unique Greedys,1,default=1,,BAGUE-FLEUR-RESINE-001|BAGUE-FLEUR-RESINE-002,,,,
BAGUE-XL-ACIER-001,,fr,default,simple,Bijoux/Bagues,01_Bague-XL-Acier.jpg,Bague XL Acier inoxydable réglable,Élégante bague XL en acier inoxydable de création artisanale. Son design intemporel et minimaliste en fait un bijou polyvalent qui s'adapte à tous les styles. Confectionnée en acier inoxydable de haute qualité elle offre une robustesse et une durabilité exceptionnelles. Réglable cette bague convient à tous les doigts sans contrainte. Bijou de référence pour les amateuses de simplicité élégante.,Bague XL en acier inoxydable réglable,1,1,0,0,1,,,,,25,,,,,,bague-xl-acier-001,Bague XL Acier Inoxydable Greedys,bague xl acier inoxydable réglable,Bague XL artisanale en acier inoxydable réglable - Création Greedys Martigues,1,default=1,,,,,
BOUCLES-OREILLES-LEOPARD-29-001,,fr,default,simple,Bijoux/Boucles-d-oreilles,01_Boucles-Oreilles-Leopard-29.png,Boucles d'oreilles Acier inoxydable Léopard,Époustouflantes boucles d'oreilles en acier inoxydable ornées de motifs léopard en polymère de création artisanale. Ces boucles apportent une touche sauvage et audacieuse à votre style. Le contraste entre l'acier inoxydable noble et le polymère coloré crée une harmonie moderne et tendance. Chaque paire est unique témoignant du travail artisanal minutieux. Parfaites pour les femmes qui osent l'originalité.,Boucles d'oreilles acier inoxydable motif léopard en polymère,1,1,0,0,1,,,,,29,,,,,,boucles-oreilles-leopard-29,Boucles d'oreilles Léopard Acier Greedys,boucles oreilles acier inoxydable polymère léopard 29 euros,Boucles d'oreilles acier inoxydable avec motif léopard - Création artisanale Greedys,1,default=1,,,,,
BOUCLES-OREILLES-POLYMERE-39-001,,fr,default,simple,Bijoux/Boucles-d-oreilles,01_Boucles-Oreilles-Polymere-39.png,Boucles d'oreilles Acier inoxydable Polymère,Magnifiques boucles d'oreilles en acier inoxydable agrémentées d'éléments en polymère de création unique. Le savoir-faire artisanal transparaît dans chaque détail de cette pièce. L'acier inoxydable offre hypoallergénicité et durabilité tandis que le polymère apporte de la légèreté et de la couleur. Ces boucles conviennent à tous les styles et occasions. Un bijou qui célèbre la créativité et l'innovation.,Boucles d'oreilles acier inoxydable avec polymère,1,1,0,0,1,,,,,39,,,,,,boucles-oreilles-polymere-39,Boucles d'oreilles Polymère Acier Greedys,boucles oreilles acier inoxydable polymère 39 euros,Boucles d'oreilles artisanales en acier inoxydable et polymère - Création Greedys,1,default=1,,,,,
BOUCLES-OREILLES-LEOPARD-32-001,,fr,default,simple,Bijoux/Boucles-d-oreilles,01_Boucles-Oreilles-Leopard-32.png,Boucles d'oreilles Acier inoxydable Léopard 32€,Sublimes boucles d'oreilles en acier inoxydable sublimées par un motif léopard raffiné en polymère. Cette création artisanale allie élégance et audace dans un équilibre parfait. L'acier inoxydable garantit la qualité et la durabilité du bijou tandis que le léopard en polymère séduit par ses nuances vibrantes. Chaque paire est une pièce unique où l'artisanat prime. Idéales pour les femmes en quête de style personnel et distinctif.,Boucles d'oreilles acier inoxydable léopard polymère,1,1,0,0,1,,,,,32,,,,,,boucles-oreilles-leopard-32-001,Boucles d'oreilles Léopard 32 Acier Greedys,boucles oreilles acier polymère léopard 32 euros,Boucles d'oreilles léopard acier inoxydable et polymère - Création Greedys,1,default=1,,BOUCLES-OREILLES-LEOPARD-32-002,,,,
BOUCLES-OREILLES-LEOPARD-PERLES-49-001,,fr,default,simple,Bijoux/Boucles-d-oreilles,01_Boucles-Oreilles-Leopard-Perles-49.png,Boucles d'oreilles Léopard et Perles de rocailles,Exquises boucles d'oreilles en acier inoxydable associant motif léopard et perles de rocailles pour un résultat éclatant. Cette création de haute volée conjugue acier inoxydable robuste et polymère léopard aux perles de rocailles scintillantes. Chaque élément est disposé avec précision par nos artisanes créant un bijou d'exception. Les perles de rocailles apportent une pluie de brillance qui capte la lumière. Parfait pour une occasion spéciale ou pour s'offrir un luxe artisanal au quotidien.,Boucles d'oreilles acier inoxydable léopard perles rocailles,1,1,0,0,1,,,,,49,,,,,,boucles-oreilles-leopard-perles-49,Boucles d'oreilles Léopard Perles Greedys,boucles oreilles acier polymère léopard perles rocailles 49 euros,Boucles d'oreilles en acier inoxydable léopard avec perles de rocailles - Création artisanale Greedys,1,default=1,,,,,
BOUCLES-OREILLES-LEOPARD-32-002,,fr,default,simple,Bijoux/Boucles-d-oreilles,01_Boucles-Oreilles-Leopard-32-Bis.png,Boucles d'oreilles Acier inoxydable Léopard,Ravissantes boucles d'oreilles en acier inoxydable décorées d'un élégant motif léopard en polymère de création artisanale. La finesse de l'acier inoxydable s'marie parfaitement avec la teinte du motif léopard créant un contraste harmonieux. Légères et confortables elles conviennent au port prolongé. Chaque création artisanale est unique reflétant le talent créatif de nos bijoutiers. Un accessoire incontournable pour les femmes qui aiment jouer avec les tendances.,Boucles d'oreilles acier inoxydable motif léopard,1,1,0,0,1,,,,,32,,,,,,boucles-oreilles-leopard-32-002,Boucles d'oreilles Léopard Acier Greedys,boucles oreilles acier polymère léopard 32 euros,Boucles d'oreilles léopard acier inoxydable - Création artisanale Greedys,1,default=1,,BOUCLES-OREILLES-LEOPARD-32-001,,,,
BRACELET-FLEUR-ACETATE-001,,fr,default,simple,Bijoux/Bracelets,"01_Bracelet-Fleur-Acetate-001.jpg",Bracelet Fleur Acétate 16cm,Charmant bracelet en acier inoxydable de création artisanale orné d'une délicate fleur en acétate aux reflets naturels. La fleur acétate apporte une touche poétique et organique à ce bijou intemporel. Chaîne d'extension de 4cm pour un confort optimal et un ajustement parfait à chaque poignet. L'acier inoxydable garantit la durabilité tandis que la fleur acétate séduit par sa beauté naturelle et ses nuances. Parfait pour les amoureuses de bijoux délicats et féminins.,Bracelet acier inoxydable avec fleur acétate,1,1,0,0,1,,,,,22,,,,,,bracelet-fleur-acetate-001,Bracelet Fleur Acétate Acier Greedys,bracelet acier inoxydable fleur acétate 16cm extension,Bracelet artisanal acier inoxydable avec fleur acétate - Création Greedys,1,default=1,,BRACELET-FLEUR-ACETATE-002|BRACELET-FLEUR-ACETATE-003,,,,
